
The number of Frequencies is 42

Test density of states: n-pentyl

    200         108573         109302         107018
    300   1.10467e+006   1.11471e+006   1.10416e+006
    400   9.47551e+006   9.57881e+006   9.52754e+006
    500   7.51875e+007    7.6118e+007   7.58565e+007
    600   5.66164e+008   5.73865e+008   5.72494e+008
    700   4.05869e+009    4.1181e+009   4.11086e+009
    800    2.7655e+010   2.80843e+010   2.80465e+010
    900   1.78827e+011   1.81741e+011   1.81547e+011
   1000   1.09676e+012   1.11537e+012    1.1144e+012
   1100   6.38153e+012   6.49356e+012   6.48894e+012
   1200   3.52578e+013   3.58953e+013   3.58738e+013
   1300   1.85209e+014   1.88644e+014   1.88548e+014
   1400   9.26437e+014   9.43992e+014   9.43577e+014
   1500   4.42035e+015   4.50501e+015   4.50328e+015
   1600   2.01539e+016    2.0529e+016    2.0522e+016
   1700   8.79654e+016   8.93504e+016   8.93237e+016
   1800   3.68218e+017   3.70915e+017   3.70816e+017
   1900   1.48086e+018   1.46386e+018   1.46351e+018
   2000   5.73182e+018   5.46856e+018   5.46738e+018
   2100   2.13881e+019   1.92545e+019   1.92507e+019
   2200    7.7065e+019   6.36949e+019   6.36836e+019
   2300   2.68545e+020   1.97677e+020   1.97645e+020
   2400   9.06342e+020   5.75679e+020   5.75593e+020
   2500   2.96684e+021   1.57569e+021   1.57548e+021
   2600   9.43191e+021   4.06388e+021   4.06337e+021
   2700   2.91581e+022   9.90732e+021   9.90615e+021
   2800   8.77591e+022   2.29092e+022   2.29067e+022
   2900   2.57449e+023   5.04231e+022   5.04179e+022
   3000   7.36922e+023   1.06003e+023   1.05993e+023

Normalization constants

60.1069 -0.74647
160.74 -0.0689414
258.364 0.0887639
357.107 0.140551
456.201 0.168557
555.608 0.185337
655.111 0.196424
754.767 0.204558
854.472 0.210772
954.2 0.215996
1053.99 0.220298
1153.8 0.223932
1253.65 0.227058
1353.51 0.22978
1453.4 0.232172
1553.29 0.234292
1653.2 0.236217
1753.11 0.237953
1853.03 0.239544
1952.96 0.241006
2052.89 0.242355
2152.83 0.243601
2252.77 0.244756
2352.71 0.245832
2452.66 0.246832
2552.61 0.247767
2652.56 0.248643
2752.51 0.249465
2852.47 0.250238
2952.43 0.250968
3052.39 0.251659
3152.35 0.252314
3252.32 0.252935
3352.29 0.253527
3452.25 0.254091
3552.22 0.25463
3652.19 0.255144
3752.16 0.255637
3852.13 0.256109
3952.11 0.256561
4052.08 0.256996
4152.06 0.257413
4252.03 0.257815
4352.01 0.258202
4451.99 0.258575
4551.96 0.258935
4651.94 0.259282
4751.92 0.259618
4851.9 0.259943
4951.88 0.260257
5051.86 0.260561
5151.85 0.260856
5251.83 0.261142
5351.81 0.26142
5451.79 0.261689
5551.78 0.261951
5651.76 0.262205
5751.74 0.262453
5851.73 0.262693
5951.71 0.262927
6051.7 0.263156
6151.68 0.263378
6251.67 0.263594
6351.66 0.263805
6451.64 0.264011
6551.63 0.264212
6651.62 0.264409
6751.6 0.2646
6851.59 0.264787
6951.58 0.26497
7051.57 0.265149
7151.56 0.265324
7251.55 0.265495
7351.53 0.265662
7451.52 0.265826
7551.51 0.265987
7651.5 0.266144
7751.49 0.266298
7851.48 0.266449
7951.47 0.266596
8051.46 0.266741
8151.45 0.266883
8251.44 0.267023
8351.43 0.26716
8451.42 0.267294
8551.41 0.267426
8651.41 0.267555
8751.4 0.267682
8851.39 0.267807
8951.38 0.267929
9051.37 0.26805
9151.36 0.268168
9251.36 0.268285
9351.35 0.268399
9451.34 0.268512
9551.33 0.268622
9651.32 0.268731
9751.32 0.268838
9851.31 0.268944
9951.3 0.269047
10051.3 0.26915
10151.3 0.26925
10251.3 0.269349
10351.3 0.269447
10451.3 0.269543
10551.3 0.269637
10651.3 0.26973
10751.2 0.269822
10851.2 0.269913
10951.2 0.270002
11051.2 0.27009
11151.2 0.270177
11251.2 0.270262
11351.2 0.270346
11451.2 0.27043
11551.2 0.270512
11651.2 0.270593
11751.2 0.270672
11851.2 0.270751
11951.2 0.270829
12051.2 0.270906
12151.2 0.270982
12251.2 0.271056
12351.2 0.27113
12451.1 0.271203
12551.1 0.271275
12651.1 0.271346
12751.1 0.271417
12851.1 0.271486
12951.1 0.271555
13051.1 0.271622
13151.1 0.271689
13251.1 0.271755
13351.1 0.271821
13451.1 0.271885
13551.1 0.271949
13651.1 0.272012
13751.1 0.272075
13851.1 0.272136
13951.1 0.272197
14051.1 0.272258
14151.1 0.272317
14251.1 0.272377
14351.1 0.272435
14451.1 0.272493
14551 0.27255
14651 0.272606
14751 0.272662
14851 0.272718
14951 0.272772
15051 0.272826
15151 0.27288
15251 0.272933
15351 0.272986
15451 0.273038
15551 0.273089
15651 0.27314
15751 0.273191
15851 0.273241
15951 0.27329
16051 0.273339
16151 0.273388
16251 0.273436
16351 0.273483
16451 0.27353
16551 0.273577
16651 0.273623
16751 0.273669
16851 0.273715
16951 0.27376
17051 0.273804
17151 0.273848
17250.9 0.273892
17350.9 0.273935
17450.9 0.273978
17550.9 0.274021
17650.9 0.274063
17750.9 0.274105
17850.9 0.274147
17950.9 0.274188
18050.9 0.274229
18150.9 0.274269
18250.9 0.274309
18350.9 0.274349
18450.9 0.274388
18550.9 0.274427
18650.9 0.274466
18750.9 0.274504
18850.9 0.274543
18950.9 0.27458
19050.9 0.274618
19150.9 0.274655
19250.9 0.274692
19350.9 0.274729
19450.9 0.274765
19550.9 0.274801
19650.9 0.274837
19750.9 0.274872
19850.9 0.274907
19950.9 0.274942
20050.9 0.274977
20150.9 0.275011
20250.9 0.275045
20350.9 0.275079
20450.9 0.275112
20550.9 0.275146
20650.9 0.275179
20750.8 0.275211
20850.8 0.275244
20950.8 0.275276
21050.8 0.275308
21150.8 0.27534
21250.8 0.275372
21350.8 0.275403
21450.8 0.275434
21550.8 0.275465
21650.8 0.275496
21750.8 0.275526
21850.8 0.275557
21950.8 0.275587
22050.8 0.275617
22150.8 0.275646
22250.8 0.275676
22350.8 0.275705
22450.8 0.275734
22550.8 0.275763
22650.8 0.275791
22750.8 0.27582
22850.8 0.275848
22950.8 0.275876
23050.8 0.275904
23150.8 0.275931
23250.8 0.275959
23350.8 0.275986
23450.8 0.276013
23550.8 0.27604
23650.8 0.276067
23750.8 0.276093
23850.8 0.27612
23950.8 0.276146
24050.8 0.276172
24150.8 0.276198
24250.8 0.276224
24350.8 0.276249
24450.8 0.276274
24550.8 0.2763
24650.8 0.276325
24750.8 0.27635
24850.8 0.276374
24950.8 0.276399
25050.8 0.276423
25150.8 0.276448
25250.8 0.276472
25350.7 0.276496
25450.7 0.27652
25550.7 0.276543
25650.7 0.276567
25750.7 0.27659
25850.7 0.276614
25950.7 0.276637
26050.7 0.27666
26150.7 0.276682
26250.7 0.276705
26350.7 0.276728
26450.7 0.27675
26550.7 0.276773
26650.7 0.276795
26750.7 0.276817
26850.7 0.276839
26950.7 0.27686
27050.7 0.276882
27150.7 0.276904
27250.7 0.276925
27350.7 0.276946
27450.7 0.276968
27550.7 0.276989
27650.7 0.277009
27750.7 0.27703
27850.7 0.277051
27950.7 0.277072
28050.7 0.277092
28150.7 0.277112
28250.7 0.277133
28350.7 0.277153
28450.7 0.277173
28550.7 0.277193
28650.7 0.277212
28750.7 0.277232
28850.7 0.277252
28950.7 0.277271
29050.7 0.277291
29150.7 0.27731
29250.7 0.277329
29350.7 0.277348
29450.7 0.277367
29550.7 0.277386
29650.7 0.277405
29750.7 0.277423
29850.7 0.277442
29950.7 0.27746
30050.7 0.277479
30150.7 0.277497
30250.7 0.277515
30350.7 0.277533
30450.7 0.277551
30550.7 0.277569
30650.7 0.277587
30750.7 0.277605
30850.7 0.277622
30950.7 0.27764
31050.7 0.277657
31150.7 0.277675
31250.7 0.277692
31350.7 0.277709
31450.7 0.277726
31550.6 0.277743
31650.6 0.27776
31750.6 0.277777
31850.6 0.277794
31950.6 0.27781
32050.6 0.277827
32150.6 0.277843
32250.6 0.27786
32350.6 0.277876
32450.6 0.277892
32550.6 0.277909
32650.6 0.277925
32750.6 0.277941
32850.6 0.277957
32950.6 0.277973
33050.6 0.277988
33150.6 0.278004
33250.6 0.27802
33350.6 0.278035
33450.6 0.278051
33550.6 0.278066
33650.6 0.278082
33750.6 0.278097
33850.6 0.278112
33950.6 0.278127
34050.6 0.278143
34150.6 0.278158
34250.6 0.278173
34350.6 0.278187
34450.6 0.278202
34550.6 0.278217
34650.6 0.278232
34750.6 0.278246
34850.6 0.278261
34950.6 0.278275
35050.6 0.27829
35150.6 0.278304
35250.6 0.278318
35350.6 0.278332
35450.6 0.278347
35550.6 0.278361
35650.6 0.278375
35750.6 0.278389
35850.6 0.278403
35950.6 0.278416
36050.6 0.27843
36150.6 0.278444
36250.6 0.278458
36350.6 0.278471
36450.6 0.278485
36550.6 0.278498
36650.6 0.278512
36750.6 0.278525
36850.6 0.278538
36950.6 0.278552
37050.6 0.278565
37150.6 0.278578
37250.6 0.278591
37350.6 0.278604
37450.6 0.278617
37550.6 0.27863
37650.6 0.278643
37750.6 0.278656
37850.6 0.278668
37950.6 0.278681
38050.6 0.278694
38150.6 0.278706
38250.6 0.278719
38350.6 0.278731
38450.6 0.278744
38550.6 0.278756
38650.6 0.278769
38750.6 0.278781
38850.6 0.278793
38950.6 0.278805
39050.6 0.278817
39150.6 0.27883
39250.6 0.278842
39350.6 0.278854
39450.6 0.278866
39550.6 0.278877
39650.6 0.278889
39750.6 0.278901
39850.6 0.278913
39950.6 0.278925
40050.6 0.278936
40150.6 0.278948
40250.6 0.278959
40350.5 0.278971
40450.5 0.278982
40550.5 0.278994
40650.5 0.279005
40750.5 0.279017
40850.5 0.279028
40950.5 0.279039
41050.5 0.27905
41150.5 0.279062
41250.5 0.279073
41350.5 0.279084
41450.5 0.279095
41550.5 0.279106
41650.5 0.279117
41750.5 0.279128
41850.5 0.279139
41950.5 0.279149
42050.5 0.27916
42150.5 0.279171
42250.5 0.279182
42350.5 0.279192
42450.5 0.279203
42550.5 0.279214
42650.5 0.279224
42750.5 0.279235
42850.5 0.279245
42950.5 0.279256
43050.5 0.279266
43150.5 0.279276
43250.5 0.279287
43350.5 0.279297
43450.5 0.279307
43550.5 0.279317
43650.5 0.279327
43750.5 0.279338
43850.5 0.279348
43950.5 0.279358
44050.5 0.279368
44150.5 0.279378
44250.5 0.279388
44350.5 0.279398
44450.5 0.279407
44550.5 0.279417
44650.5 0.279427
44750.5 0.279437
44850.5 0.279447
44950.5 0.279456
45050.5 0.279466
45150.5 0.279476
45250.5 0.279485
45350.5 0.279495
45450.5 0.279504
45550.5 0.279514
45650.5 0.279523
45750.5 0.279533
45850.5 0.279542
45950.5 0.279552
